fire_id,observation_year,summer_temp_c,summer_precip_mm,summer_vpd_kpa,temp_anomaly_c,precip_anomaly_mm,vpd_anomaly_kpa
1985 7098,1984,16.487107952781344,4196.098456787684,0.48699235247480765,-0.5686265024010346,779.204320605053,-0.13005402261643195
1985 7101,1984,15.764354400358343,3484.019820275524,0.5052258338570308,-0.4453291768613177,65.37253838822608,-0.12294222020944223
1986 6155,1984,16.205171724985963,3778.878359028153,0.4978085529638326,-0.4505516960361243,68.76916311850512,-0.11071864670270737
1986 7088,1984,15.401809500537201,3771.7031479872844,0.4817200523752015,-0.332432876352714,-263.0708609133794,-0.10475228958510986
1986 7090,1984,15.101169494157062,3835.4913116068014,0.4756506612838491,-0.29367043043360125,-151.2669469194179,-0.09078929994815363
1985 7098,1985,15.423906877766512,3646.2642767682282,0.5285188141009284,-1.6318275774158657,229.37014058559726,-0.08852756099031123
1985 7101,1985,14.60980050321939,3904.9203259154765,0.5174804762689703,-1.599883074000271,486.27304402817845,-0.11068757779750271
1986 6155,1985,15.092791155110255,4073.504093714516,0.5223132184823831,-1.5629322659118292,363.3948978048685,-0.08621398118415687
1986 7088,1985,14.247999262665461,4281.957559903087,0.5024857250363298,-1.4862431142244525,247.18355100242317,-0.08398661692398139
1986 7090,1985,13.980668997081581,4093.638741625598,0.4998644449009591,-1.4141709275090808,106.88048309937865,-0.06657551633104364
1985 7098,1986,14.988150567593777,3278.615980907766,0.5293160393312347,-2.067583887588601,-138.27815527486518,-0.08773033576000488
1985 7101,1986,14.10323191241946,2938.8185735190787,0.5757737574611659,-2.1064516648002005,-479.8287083682194,-0.052394296605307145
1986 6155,1986,14.523777997205817,3615.6938770184793,0.5185773283117979,-2.1319454238162683,-94.41531889116843,-0.08994987135474192
1986 7088,1986,13.305847516352312,3405.3383381017757,0.5232130213193529,-2.4283948605376002,-629.4356707988879,-0.06325932064095832
1986 7090,1986,12.933911440450448,3201.7308836374973,0.5023790975426804,-2.4609284841402137,-785.0273748887225,-0.06406086368932232
1985 7098,1987,16.950050539210224,4667.624876572991,0.5546565932093459,-0.1056839159721541,1250.7307403903596,-0.0623897818818937
1985 7101,1987,16.031152993354283,4050.8743596442578,0.5861291355323158,-0.17853058386537768,632.2270777569597,-0.0420389185341572
1986 6155,1987,16.45534732929175,4954.650002787647,0.5372664840417587,-0.20037609173033388,1244.5408068779996,-0.07126071562478124
1986 7088,1987,15.365252487232146,3688.7063892692636,0.5619542817864454,-0.3689898896577686,-346.06761963140025,-0.024518060173866093
1986 7090,1987,14.964433894464383,3691.2688890369836,0.5390155627021557,-0.43040603012627865,-295.4893694892359,-0.027424398529847002
1985 7098,1988,16.725843400540555,4615.118697052253,0.6042030510181968,-0.32989105464182344,1198.224560869622,-0.012843324073042783
1985 7101,1988,15.426459767161987,5146.707746898187,0.548320566036918,-0.7832238100576738,1728.060465010889,-0.07984748802955499
1986 6155,1988,16.442301486195024,4286.963742199923,0.6179386114848974,-0.21342193482706132,576.8545462902761,0.009411411818357474
1986 7088,1988,15.04255899747698,4344.893400116292,0.548736697138102,-0.6916833794129327,310.1193912156282,-0.03773564482220916
1986 7090,1988,14.837717859102977,3819.2088564603077,0.5479267317770433,-0.557122065487686,-167.54940206591172,-0.018513229454959326
1985 7098,1989,16.683740192910932,2604.1066452413943,0.6069290147217402,-0.3719942622714463,-812.7874909412367,-0.010117360369499395
1985 7101,1989,15.566789756996059,3871.882951959982,0.5732485736689164,-0.6428938202236019,453.2356700726841,-0.054919480397556675
1986 6155,1989,16.444177892626588,2848.5048062859455,0.6177831417532669,-0.211545528395498,-861.6043896237022,0.00925594208672695
1986 7088,1989,15.466041078213141,2869.173558764163,0.5971018345691679,-0.26820129867677533,-1165.600450136501,0.010629492608856615
1986 7090,1989,15.235195113048063,2745.459729145793,0.5889404232535576,-0.15964481154260005,-1241.2985293804263,0.02250046202155472
1985 7098,1990,16.68843816536065,3036.0404695347647,0.5595001866253994,-0.36729628982172713,-380.85366664786625,-0.05754618846584025
1985 7101,1990,15.93023910937103,3211.295770011912,0.5712636366696954,-0.27944446784863075,-207.35151187538622,-0.05690441739677765
1986 6155,1990,16.39766206157767,3207.2555531918047,0.5596621899181118,-0.258061359444418,-502.8536427178434,-0.04886500974842811
1986 7088,1990,15.592937771158509,3299.982297779923,0.5729704623612508,-0.14130460573140385,-734.7917111207404,-0.013501879599060561
1986 7090,1990,15.311454203926777,3143.110736042157,0.5704780714329825,-0.08338572066388823,-843.6475224840624,0.0040381102009798345
1985 7098,1991,17.717004677869284,3595.367236197827,0.7247447460235362,0.6612702226869054,178.473100015196,0.10769837093229662
1985 7101,1991,16.961995372219405,2572.2205575042344,0.7482824441295806,0.7523117949997449,-846.4267243830636,0.12011439006310753
1986 6155,1991,17.326040986809023,3823.000775060724,0.7313506219505601,0.6703175657869388,112.89157915107656,0.12282342228402013
1986 7088,1991,16.11413533170673,3025.145278953936,0.660717750117016,0.3798929548168196,-1009.6287299467278,0.07424540815670481
1986 7090,1991,15.706692225594777,3117.0214685596357,0.6258167595463856,0.311852301004114,-869.7367899665842,0.059376798314382966
1985 7098,1992,14.422939471922064,3954.5710895594084,0.5305865702525207,-2.6327949832603146,537.6769533767774,-0.08645980483871896
1985 7101,1992,13.696338050952875,3470.0269055005037,0.5911176016762489,-2.513345526266786,51.379623613205695,-0.03705045239022409
