fire_id,fire_year,area_ha,centroid_lat,centroid_lon
1985 7098,1985,526.67,48.185275333952234,-77.9583781441743
1985 7101,1985,228.65,49.05654199549099,-77.83402879130634
1986 6155,1986,324.23,47.813988143937635,-76.93885977323026
1986 7088,1986,18919.88,49.83700059029334,-76.13571785114334
1986 7090,1986,7541.14,49.99525901691649,-75.55746331828355
1986 7093,1986,2519.99,49.641705056548695,-76.18437056091436
1986 7099,1986,7691.59,49.7310079271986,-75.45517809221113
1986 7100,1986,256.59,49.69175151724237,-75.82901778895389
1986 7101,1986,57626.02,50.040655213097885,-75.77386716299387
1986 7106,1986,38099.2,50.13702619425429,-76.0781240474334
1986 7115,1986,7902.81,50.18724322441252,-76.39799935321682
1988 7169,1988,912.38,49.70557798620448,-75.83916575967676
1992 7079,1992,2007.52,49.76388876584899,-77.71544814331487
19951080515,1995,130.0,49.93315701026437,-76.1214616072561
19951080996,1995,47709.0,48.88909162474522,-76.37629736659312
19951081068,1995,129.0,48.72614632180551,-77.9071620116888
19951081084,1995,6925.0,48.658623331136546,-75.95534027646326
19961080302,1996,1088.0,48.84667981558052,-76.65210441308228
19961080399,1996,881.0,50.00459098335045,-76.44000113717601
19961080536,1996,6862.0,50.294283458815954,-76.2048146362308
19961080651,1996,4130.0,50.18051397610666,-75.86210334401093
19961080668,1996,816.0,50.25215675832303,-76.22988235042439
19971080207,1997,5355.0,50.326633081147506,-77.5126215107155
19971080232,1997,2557.0,49.74724343861713,-76.29138417327283
19981080225,1998,4130.0,49.299970111740684,-76.86471954166912
19991080950,1999,339.0,48.117213682180775,-78.36434934880326
20011080405,2001,256.4,49.70480833728018,-78.48090165117655
20051080355,2005,244.08220654,49.31871946205053,-75.50624885618394
20051080374,2005,1122.49200649,49.92604651264526,-75.48194742713852
20051080583,2005,3141.66528479,48.82830090144458,-77.0108461516439
20051080653,2005,1489.45362486,50.199120231899414,-76.8437138543693
20051080691,2005,379.078920262,49.26481758567402,-76.5157234541866
20051080695,2005,4924.15304877,49.39736441369288,-75.5829540926639
20051080742,2005,638.528462337,49.37625535046806,-75.33171996660937
20051080768,2005,154.16764101,49.112264637481864,-77.9616239663096
20051080797,2005,213.756777452,48.69530700623441,-75.77072556498383
20051081299,2005,1353.31869645,48.17984563720563,-78.51278151425139
20061080486,2006,679.098554854,49.57711708344799,-76.70840301922433
20071080193,2007,1181.48907462,48.25716183576918,-76.39055215697803
20071080254,2007,53351.1275417,48.18445925464699,-76.46495330047061
20071080461,2007,8768.67450129,50.37115455513174,-76.569161371557
20071080492,2007,310.23465581,49.32606356026601,-76.4032325925473
20071080506,2007,741.051196725,49.42403795674385,-75.52516484576161
20071080572,2007,224.20862677,49.11142225814307,-75.52500060705644
20091080312,2009,373.0390543,50.31946916776016,-76.4663729005741
20091080313,2009,456.953508197,49.19513783981149,-76.51748729336109
20091080336,2009,130.193924631,49.70096367907219,-76.36610701837654
20101080253,2010,21165.8385589,49.1377795589514,-75.80847886100877
20101080282,2010,126.972741568,49.584108974722085,-77.25243334337027
20101080422,2010,267.205366515,48.53940658901292,-75.40228080078306
20101080424,2010,501.909512724,48.52090527659622,-75.46880320258198
20121080192,2012,14213.7043145,48.35248391687705,-75.75936293477616
20121080215,2012,137.485589104,48.71206308967646,-75.17018010983016
20121080223,2012,132.922605716,47.89569547442708,-76.0831229161999
20121080258,2012,152.014236871,49.56464265607353,-77.20244907849641
20121080261,2012,395.276761125,48.713397405467376,-76.74501720198032
20121080337,2012,3035.6733183,48.675605742778004,-76.948513534331
20171080074,2017,4070.02169474,50.03088144740307,-76.46905386681976
20171080077,2017,472.787379586,50.23320750246087,-76.02650229761024
20181080368,2018,9754.2,49.08146623344832,-76.32053030991612
20191080072,2019,5019.4019279,49.230142356709706,-75.35725105185955
20211080400,2021,437.789110201,48.53996825634037,-77.82705068146176
20231080245,2023,6254.35826371,48.45899314965766,-76.92219766169195
20231080248,2023,6835.39579096,47.970908058064985,-75.78857208385215
20231080256,2023,4673.56850616,49.271854747638585,-76.920109764526
20231080274,2023,59882.5607307,49.288271378448336,-75.53494583492473
20231080297,2023,15186.4776252,48.0861695911077,-76.99734085665115
20231080314,2023,100959.934441,49.55081390958307,-76.89857538733148
20231080344,2023,346475.642853,48.910668401799335,-76.39295136002688
20231080370,2023,1970.01515506,49.2401755575132,-75.3177908737874
20231080372,2023,1972.80973855,48.76999807357943,-75.24119861778657
20231080373,2023,17532.6549894,48.91120605817862,-75.18564142374618
20231080382,2023,1542.08456452,48.30730490729245,-76.11190348056473
20231080449,2023,28551.5522298,49.17581519180894,-75.11939624118394
20231080481,2023,623.271076977,49.03908526771719,-75.32500332369678
20231080488,2023,31040.8922428,50.22278408257616,-78.00687702738651
20231080496,2023,134.245907413,48.58976346575416,-75.77846039238489
20231080535,2023,18425.5733451,50.23455001941861,-77.96864610816586
