fire_id,fire_year,observation_year,years_since_fire,fire_cohort,area_ha,centroid_lat,centroid_lon,NBR,NDVI,NBR_pre,NDVI_pre,dNBR,summer_temp_c,summer_precip_mm,summer_vpd_kpa,temp_anomaly_c,precip_anomaly_mm,vpd_anomaly_kpa
1985 7098,1985,1984,-1,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.5302314723921399,0.6425989699138344,0.5302314723921399,0.6425989699138344,0.1921282458894747,16.487107952781344,4196.098456787684,0.4869923524748076,-0.5686265024010346,779.204320605053,-0.1300540226164319
1985 7098,1985,1985,0,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.3381032265026651,0.3339648506712661,0.5302314723921399,0.6425989699138344,0.1921282458894747,15.423906877766512,3646.264276768228,0.5285188141009284,-1.6318275774158657,229.37014058559728,-0.0885275609903112
1985 7098,1985,1986,1,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.3652018526033269,0.3186165263369712,0.5302314723921399,0.6425989699138344,0.1921282458894747,14.988150567593776,3278.615980907766,0.5293160393312347,-2.067583887588601,-138.27815527486518,-0.0877303357600048
1985 7098,1985,1987,2,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.4122822463276867,0.4747328980402633,0.5302314723921399,0.6425989699138344,0.1921282458894747,16.950050539210224,4667.624876572991,0.5546565932093459,-0.1056839159721541,1250.7307403903596,-0.0623897818818937
1985 7098,1985,1988,3,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.435625373586693,0.6621220821836886,0.5302314723921399,0.6425989699138344,0.1921282458894747,16.725843400540555,4615.118697052253,0.6042030510181968,-0.3298910546418234,1198.224560869622,-0.0128433240730427
1985 7098,1985,1989,4,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.5409556013165135,0.7127695280343903,0.5302314723921399,0.6425989699138344,0.1921282458894747,16.683740192910932,2604.1066452413943,0.6069290147217402,-0.3719942622714463,-812.7874909412367,-0.0101173603694993
1985 7098,1985,1990,5,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.2676083990658329,0.2207455802195464,0.5302314723921399,0.6425989699138344,0.1921282458894747,16.68843816536065,3036.0404695347647,0.5595001866253994,-0.3672962898217271,-380.85366664786625,-0.0575461884658402
1985 7098,1985,1991,6,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.5566605951948909,0.7090817728926201,0.5302314723921399,0.6425989699138344,0.1921282458894747,17.717004677869284,3595.367236197827,0.7247447460235362,0.6612702226869054,178.473100015196,0.1076983709322966
1985 7098,1985,1992,7,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.3076405997173519,0.2607828471655493,0.5302314723921399,0.6425989699138344,0.1921282458894747,14.422939471922064,3954.571089559408,0.5305865702525207,-2.6327949832603146,537.6769533767774,-0.0864598048387189
1985 7098,1985,1993,8,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.5292053498851598,0.6894126222200614,0.5302314723921399,0.6425989699138344,0.1921282458894747,16.976877128214085,3895.766286629773,0.5400835613699021,-0.0788573269682935,478.8721504471414,-0.0769628137213375
1985 7098,1985,1994,9,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.5634739186562642,0.6817634085650428,0.5302314723921399,0.6425989699138344,0.1921282458894747,16.314786412059448,3891.226738174705,0.5036133112536313,-0.7409480431229305,474.33260199207416,-0.1134330638376083
1985 7098,1985,1995,10,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.6151405994625212,0.7673348587326101,0.5302314723921399,0.6425989699138344,0.1921282458894747,18.28822002410891,2635.480972836486,0.7409331505530601,1.2324855689265313,-781.4131633461448,0.1238867754618204
1985 7098,1985,1996,11,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.6112680025718715,0.6975739394178717,0.5302314723921399,0.6425989699138344,0.1921282458894747,17.031246052617632,2633.807124982795,0.6081027380957233,-0.0244884025647458,-783.0870111998361,-0.0089436369955162
1985 7098,1985,1997,12,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.45869628344399,0.6541555271083322,0.5302314723921399,0.6425989699138344,0.1921282458894747,16.812558877640924,3531.533200584008,0.6286821833690125,-0.2431755775414537,114.6390644013768,0.0116358082777728
1985 7098,1985,1998,13,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.5450076308281073,0.4783868159290211,0.5302314723921399,0.6425989699138344,0.1921282458894747,17.187007418922803,2617.053045345081,0.606800147143678,0.1312729637404253,-799.8410908375499,-0.0102462279475615
1985 7098,1985,1999,14,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.6228726372423432,0.7401473532115902,0.5302314723921399,0.6425989699138344,0.1921282458894747,17.717990120597506,4194.647959101914,0.6061630446402608,0.6622556654151275,777.7538229192833,-0.0108833304509787
1985 7098,1985,2000,15,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.5331915352972713,0.607361272454585,0.5302314723921399,0.6425989699138344,0.1921282458894747,15.436930516837322,3004.104236961709,0.5110870414032359,-1.6188039383450563,-412.78989922092205,-0.1059593336880037
1985 7098,1985,2001,16,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.3808127697031459,0.248040399773563,0.5302314723921399,0.6425989699138344,0.1921282458894747,17.632457123632037,2401.603707023128,0.7169367569945704,0.5767226684496585,-1015.2904291595032,0.0998903819033307
1985 7098,1985,2002,17,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.6347605403766502,0.7363020916352251,0.5302314723921399,0.6425989699138344,0.1921282458894747,17.13872785706451,3578.5807400264707,0.6542092366363784,0.0829934018821312,161.68660384383975,0.0371628615451388
1985 7098,1985,2003,18,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.6151719849614112,0.7089436623225279,0.5302314723921399,0.6425989699138344,0.1921282458894747,16.91997850666877,4427.368295861857,0.5980183440081485,-0.1357559485136086,1010.4741596792264,-0.0190280310830911
