fire_id,fire_year,observation_year,years_since_fire,area_ha,centroid_lat,centroid_lon,NBR,NDVI,NBR_pre,NDVI_pre,dNBR
1985 7098,1985,1984,-1,526.67,48.185275333952234,-77.9583781441743,0.5302314723921399,0.6425989699138344,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1985,0,526.67,48.185275333952234,-77.9583781441743,0.33810322650266517,0.33396485067126613,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1986,1,526.67,48.185275333952234,-77.9583781441743,0.36520185260332694,0.31861652633697124,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1987,2,526.67,48.185275333952234,-77.9583781441743,0.4122822463276867,0.47473289804026336,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1988,3,526.67,48.185275333952234,-77.9583781441743,0.43562537358669307,0.6621220821836886,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1989,4,526.67,48.185275333952234,-77.9583781441743,0.5409556013165135,0.7127695280343903,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1990,5,526.67,48.185275333952234,-77.9583781441743,0.2676083990658329,0.2207455802195464,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1991,6,526.67,48.185275333952234,-77.9583781441743,0.5566605951948909,0.7090817728926201,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1992,7,526.67,48.185275333952234,-77.9583781441743,0.3076405997173519,0.26078284716554934,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1993,8,526.67,48.185275333952234,-77.9583781441743,0.5292053498851598,0.6894126222200614,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1994,9,526.67,48.185275333952234,-77.9583781441743,0.5634739186562642,0.6817634085650428,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1995,10,526.67,48.185275333952234,-77.9583781441743,0.6151405994625212,0.7673348587326101,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1996,11,526.67,48.185275333952234,-77.9583781441743,0.6112680025718715,0.6975739394178717,0.5302314723921399,0.6425989699138344,0.1921282458894747
1985 7098,1985,1997,12,526.67,48.185275333952234,-77.9583781441743,0.45869628344399,0.6541555271083322,0.5302314723921399,0.6425989699138344,0.1921282458894747
