fire_cohort,n_fires_total,n_recovery_3yr,median_recovery_3yr,mean_recovery_3yr,n_recovery_5yr,median_recovery_5yr,mean_recovery_5yr,n_recovery_10yr,median_recovery_10yr,mean_recovery_10yr,median_rate_0_3yr,median_rate_0_5yr,median_rate_0_10yr,median_years_to_80pct,median_dNBR,median_temp_anomaly_1_3yr,median_precip_anomaly_1_3yr,median_vpd_anomaly_1_3yr,median_temp_anomaly_1_5yr,median_precip_anomaly_1_5yr,median_vpd_anomaly_1_5yr
1984-1994,13,9,0.6100471413867707,0.6325118602921607,9,0.5255152514999266,0.4474318815193197,9,0.4170320067823264,0.5606725549562069,0.20334904712892357,0.10510305029998532,0.04170320067823264,8.0,0.2089507650102729,-0.4142902142165084,-379.65006566863076,-0.01283733237058673,-0.2169686165408808,-583.7852535899574,0.0018238632340851601
1995-2004,14,10,0.09271597598539055,0.16610569294695737,10,0.4403733579691439,0.4303876239267786,10,0.7652447212826119,0.8406562335396451,0.030905325328463518,0.08807467159382878,0.07652447212826119,7.5,0.20511038614821692,-0.0649756497423214,-41.1289397990613,-0.009566499121666617,-0.1757628938323718,-112.249059911676,-0.01639480830270472
2005-2014,30,19,0.4725492135916705,0.3667369407437115,19,0.6411362833785076,0.5546298671292277,19,0.8539428808704153,0.889127177298622,0.15751640453055685,0.1282272566757015,0.08539428808704153,7.0,0.1596645577093999,-0.1027575458305455,24.69863735126405,-0.028903850826308718,-0.039580829454499145,-19.987653561376455,-0.015002612934503617
2015-2022,5,5,0.2596184457401346,0.2685824861644095,4,0.622416718957416,0.3754792673377794,0,,,0.0865394819133782,0.12448334379148321,,4.5,0.2812882953834025,0.8122372024407828,367.86125876734576,0.034245740224011,0.7776871802210956,255.56522314886575,0.028444660039853083
2023+,16,0,,,0,,,0,,,,,,,0.24422862241392806,1.0277317982510048,581.2328950583029,0.021293247332178074,,,
