fire_id,fire_year,fire_cohort,area_ha,centroid_lat,centroid_lon,dNBR,recovery_metric_valid,recovery_exclusion_reason,NBR_pre,NBR_fire,NDVI_pre,NDVI_fire,recovery_0yr,recovery_1yr,recovery_2yr,recovery_3yr,recovery_4yr,recovery_5yr,recovery_6yr,recovery_7yr,recovery_8yr,recovery_9yr,recovery_10yr,recovery_11yr,recovery_12yr,recovery_13yr,recovery_14yr,recovery_15yr,recovery_16yr,recovery_17yr,recovery_18yr,recovery_19yr,recovery_20yr,recovery_ndvi_0yr,recovery_ndvi_1yr,recovery_ndvi_2yr,recovery_ndvi_3yr,recovery_ndvi_4yr,recovery_ndvi_5yr,recovery_ndvi_6yr,recovery_ndvi_7yr,recovery_ndvi_8yr,recovery_ndvi_9yr,recovery_ndvi_10yr,recovery_ndvi_11yr,recovery_ndvi_12yr,recovery_ndvi_13yr,recovery_ndvi_14yr,recovery_ndvi_15yr,recovery_ndvi_16yr,recovery_ndvi_17yr,recovery_ndvi_18yr,recovery_ndvi_19yr,recovery_ndvi_20yr,rate_0_3yr,rate_0_5yr,rate_0_10yr,years_to_80pct,n_postfire_observations,temp_anomaly_1_3yr,precip_anomaly_1_3yr,vpd_anomaly_1_3yr,temp_anomaly_1_5yr,precip_anomaly_1_5yr,vpd_anomaly_1_5yr,temp_anomaly_1_10yr,precip_anomaly_1_10yr,vpd_anomaly_1_10yr,mean_temp_postfire_available,mean_precip_postfire_available,mean_vpd_postfire_available
1985 7098,1985,1984-1994,526.67,48.185275333952234,-77.9583781441743,0.1921282458894747,True,,0.5302314723921399,0.3381032265026651,0.6425989699138344,0.3339648506712661,0.0,0.14104446733069506,0.3860911730162487,0.5075888068021466,1.055817554960362,-0.366915479348027,1.1375597985626478,-0.15855360904526955,0.9946591793297775,1.1730221712597513,1.441939844281027,1.4217835321639765,0.6276695880037245,1.0769077881680538,1.4821839934118632,1.0154067034309688,0.2222970547758514,1.5440588264395156,1.442103201307188,1.274739694749076,1.7323828283109064,0.0,-0.049729836649174915,0.45610008288928616,1.0632564938632407,1.22735839541255,-0.36683977367627324,1.2154097646168995,-0.23711572682020954,1.1516800942848262,1.1268960111970883,1.4041545669833757,1.178123435085381,1.0374441984018465,0.4679390781945526,1.31606480688899,0.885826954110817,-0.27840230726458187,1.3036058422553911,1.2149622749795546,1.1394743893920856,1.392142008235517,0.16919626893404885,-0.0733830958696054,0.1441939844281027,4.0,20,-0.8343862860675261,770.2257153283722,-0.05432114723831374,-0.6484898820591504,223.40719767920274,-0.04612539811005614,-0.4801293972033854,200.49776308810578,-0.027589752655382837,-0.23555527332324644,13.915025024509145,-0.008226783041379042
1985 7101,1985,1984-1994,228.65,49.05654199549099,-77.83402879130634,0.0101671643538781,False,low_or_negative_dnbr,0.4678628419787088,0.4576956776248307,0.5068664143663186,0.5594202307555524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1.0227353529077507,626.819611466543,-0.0580935677230064,-0.798108869359097,425.2685985193854,-0.05722092019267068,-0.5417925668799249,178.75059338237674,-0.026072947915426303,-0.2914724695509697,133.70620699986355,-0.013534242946379959
1986 6155,1986,1984-1994,324.23,47.813988143937635,-76.93885977323026,-0.0127486916083982,False,low_or_negative_dnbr,0.4505900382366813,0.4633387298450795,0.4622433193235359,0.1820567786326751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.20844785165096436,319.93032118152445,-0.0175311205732323,-0.042617469722074454,113.96577999556129,0.00427301016317902,-0.19653045648666162,46.51998826119136,-0.010670679495523258,-0.10349288003392236,-57.261607907750076,-0.0001999319714611203
1986 7088,1986,1984-1994,18919.88,49.83700059029334,-76.13571785114334,0.30069973989302,True,,0.4140097134368954,0.1133099735438754,0.4218727465804788,0.3554803407564429,0.0,0.7079263933256782,0.4676384117744164,0.8573356455779582,0.6949345951239975,0.902639111289526,0.8821437744232203,0.9092124361663083,1.0457261375305071,0.5454520824706391,0.5716112860636589,0.6429017386519225,0.6235254275339811,0.9156975737815689,1.292538912095956,1.454682041572855,1.5002983797428429,0.5389801675665442,1.113859174627834,1.5000952682193547,1.149557282219342,0.0,-4.795506382871815,3.8838820542447072,4.3235337715541675,-4.238575952774734,-0.4415241484820299,3.6771022353242144,3.794266955283749,4.265525345322646,-1.883800589403722,-2.708075104309057,-0.9407594811558436,-0.23519811775384014,-0.47026691126662884,5.530928707227497,4.942712768147584,5.50107662099421,-2.1188812576744045,-3.1478858053299406,4.030792329039199,-0.0007953685987832026,0.28577854852598605,0.1805278222579052,0.05716112860636589,3.0,20,-0.4429581892491588,-400.516226184091,-0.017208070795739498,-0.21805724373241214,-589.1938239239482,0.0018238632340851601,-0.2727435307717868,-167.58776540377522,-0.004442876288951091,-0.1610557758787144,-230.18227520785837,0.0022711244590710106
1986 7090,1986,1984-1994,7541.14,49.99525901691649,-75.55746331828355,0.2183719685019771,True,,0.5036950970345165,0.2853231285325394,0.545939763270894,0.4669280150273981,0.0,-0.22458762185345987,0.31225802827485727,0.6100471413867707,-0.15294512710709926,0.15154637130710477,0.669668079426124,0.687631330627231,0.5633077416046781,0.4909284687797587,0.29420641556996957,-0.027831750803404803,0.18699434276171537,0.7055627124903429,0.02568451279743223,0.5001143798846857,0.5627529005682897,0.6339919737050296,0.4908142952542093,0.9559623716805788,0.8488687770238064,0.0,-3.659784519052065,-0.6455903363879817,2.2234183509729974,-2.9675517719620617,-3.9563653077379524,0.6903346793887054,2.3721560221443907,1.7281363622678085,1.4808997940777247,0.29446058033508593,-1.3369521704530174,-2.425165127378039,1.2334714703939242,-2.796637045579084,-0.9139262730036468,-1.2371818007079853,0.9638846508160056,-3.2652765435623676,1.4813493768764177,1.827426403687262,0.20334904712892357,0.030309274261420955,0.029420641556996956,19.0,20,-0.3823909690521881,-568.1124336451913,-0.0078123886544172,-0.1837412653632677,-683.544322677244,0.00799554851042222,-0.24934886646410592,-260.22406836363325,0.00018275313313299916,-0.15246299300993726,-242.97398605856944,0.004487456110530711
1986 7093,1986,1984-1994,2519.99,49.641705056548695,-76.18437056091436,0.2089507650102729,True,,0.4626603552347462,0.2537095902244733,0.4261620437473633,0.3533203889901163,0.0,0.12722010947136264,-0.29698493323902514,0.12246653436821196,0.7208031968984654,0.7400259863539383,0.44051578723726253,0.7397770372255037,0.8886362101016215,0.6868857016747921,0.12226023869605022,0.1222663591390123,-0.2332139688655724,0.7945039507312848,0.7768575457067272,1.281758793594979,1.4683844892369624,0.21604934705863085,0.6695385150283499,1.5054018653846164,0.8701927900964578,0.0,-4.394019401508788,1.1299780506015507,3.4343296318504817,-3.084250400878181,-0.5342991425646267,3.1681385629068837,3.811593750689412,3.8636595722813305,4.184236817965143,-2.6526002180003263,-3.5098608598532772,-2.8675896320769465,0.02972358393199553,3.8919775523490228,4.66825460092471,4.828181474939169,-0.37281055561718246,-2.196845698610332,5.044698743050127,1.9599397481705791,0.04082217812273732,0.14800519727078768,0.012226023869605022,8.0,20,-0.4606916885585155,-257.99668028712273,-0.022760631185971533,-0.2169686165408808,-496.1945604679968,-0.0026048477890413006,-0.2705974236498422,-181.15942897696263,-0.006777890541623951,-0.16026105638863547,-217.61864359251018,0.0007972078438682709
1986 7099,1986,1984-1994,7691.59,49.7310079271986,-75.45517809221113,0.3235676480501163,True,,0.5695515264157667,0.2459838783656504,0.6259899293968683,0.4784908879149107,0.0,0.2841752868836027,0.07221080247040304,0.5073776440950188,0.31440617608883514,0.5255152514999266,0.5619568643829176,0.5314903026382869,0.4833192402752742,0.39281731736508024,0.4170320067823264,0.6042687199623081,0.21781768383504152,0.7307628802020689,-0.017835534184163986,0.15121130629636428,0.7065150216545836,0.5496867824879025,0.5134157397212736,0.8514450116548854,0.8031834368036432,0.0,-1.747529323116509,0.23862347987996205,1.165546219584019,0.38379491948919814,-2.9663392802094286,0.6085336412367186,1.0859540970282782,0.688773033409077,0.00029798974195780235,-0.9406230519363944,1.019508085410283,-2.690032156817086,0.6091251949725633,-2.105685743470146,-2.688466962068005,0.8212714989591232,0.4380100387047969,-1.4300370568054432,1.2981280392794945,1.191809506201476,0.16912588136500628,0.10510305029998532,0.04170320067823264,19.0,20,-0.403844456012939,-375.15952475317675,-0.01283733237058673,-0.19023286831995256,-541.8416744995491,0.0034300333661625828,-0.2444472414850388,-218.1299315504362,-0.002313079183037388,-0.14984306734191918,-224.70878109693348,0.0031932810118451248
1986 7100,1986,1984-1994,256.59,49.69175151724237,-75.82901778895389,-0.0556185242717464,False,low_or_negative_dnbr,0.407421056444895,0.4630395807166415,0.4775377945161072,0.6271201799664908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.443530800492292,-379.65006566863076,-0.021426259102035505,-0.20837309740590831,-583.7852535899574,-0.0021379511591996026,-0.25741055460943335,-240.9699409545843,-0.005680484818994804,-0.15553122983462267,-249.68907440705894,0.0011073559198777887
1986 7101,1986,1984-1994,57626.02,50.040655213097885,-75.77386716299387,0.3554423918396616,True,,0.4687991133325158,0.1133567214928542,0.4180062755114072,0.339817035073719,0.0,0.5054770486311329,0.4394288678510492,0.7248005837422399,0.3733521100497168,0.39533094966499865,0.7413140111769793,0.8570220113766926,0.7908509279197293,0.7690477544409238,0.31301033437151105,0.7910892213060611,1.01635594736593,0.8735736716265704,0.6756619586862128,0.9943523433333902,0.9504763688804528,0.7305734885767815,0.8515074494250848,1.1591294713362639,1.0602002503254255,0.0,-3.499469958913726,2.497854840695632,3.772171726054665,-1.997929285696475,-2.5976262011211184,2.673484006048881,3.997729029764861,3.397928367794517,3.2980482017777057,-2.8980932176537237,-3.9950278004731965,3.6970527080294406,1.6987013789398622,2.0989690718052425,2.72302581126825,3.1230712916335435,0.5996491931329069,-1.9980228618818072,3.8723280735241614,3.798172889092318,0.24160019458074664,0.07906618993299973,0.031301033437151106,7.0,20,-0.4011239010821989,-593.4575605744488,-0.009529360441013799,-0.20117360506320203,-682.2280150959609,0.006850621641005181,-0.26159480431257487,-226.51023710312558,-0.0004922377754912416,-0.15659895102080185,-245.8543024059953,0.004390701565733429
1986 7106,1986,1984-1994,38099.2,50.13702619425429,-76.0781240474334,0.4296181081983609,True,,0.5194858605601358,0.0898677523617748,0.3789033523136395,0.2770992184467387,0.0,0.6682677907488125,0.5456379383935084,0.7271360598581862,0.4864027507202991,0.6500496495820497,0.6722004195387464,0.7818853695051733,0.891022420241138,0.5272397113581637,0.4952511921098707,0.7638568171328757,0.9411136373979851,0.8045653696766983,0.8227199750993293,0.9637842981013709,0.9455088216396287,0.731818057562618,0.7409028554998607,1.0408608597615585,0.9272964878645141,0.0,-2.2180953929856524,3.3792854333178024,2.9765289436065943,-1.9170303870003373,1.3072604853380085,2.938087659833107,3.5330065556014163,3.7633685278653775,2.3048912607974525,-1.5330378053360427,-2.3788894166474055,3.609793856420059,1.3837326713648028,3.379036431404787,3.686353893292787,3.762623878640036,0.002218609913376648,-0.8420257534191976,3.436453266190808,3.302771123659522,0.2423786866193954,0.13000992991640994,0.04952511921098707,8.0,20,-0.4142902142165084,-638.4813161019487,-0.009970994341142967,-0.21832246440272435,-708.0720283735898,0.006790817079964059,-0.27434186117951737,-202.83186819008046,-0.00017443127944845107,-0.16464783715363535,-251.3106310210977,0.004015416314040317
